video,video_relpath,frame,phase_id,phase_name
snatch_-96kg_moeini_sedeh_alireza_i2_ok_000016.mp4,moeini/snatch_-96kg_moeini_sedeh_alireza_i2_ok_000016.mp4,0,1,setup
snatch_-96kg_moeini_sedeh_alireza_i2_ok_000016.mp4,moeini/snatch_-96kg_moeini_sedeh_alireza_i2_ok_000016.mp4,1,1,setup
snatch_-96kg_moeini_sedeh_alireza_i2_ok_000016.mp4,moeini/snatch_-96kg_moeini_sedeh_alireza_i2_ok_000016.mp4,2,1,setup
snatch_-96kg_moeini_sedeh_alireza_i2_ok_000016.mp4,moeini/snatch_-96kg_moeini_sedeh_alireza_i2_ok_000016.mp4,3,1,setup
snatch_-96kg_moeini_sedeh_alireza_i2_ok_000016.mp4,moeini/snatch_-96kg_moeini_sedeh_alireza_i2_ok_000016.mp4,4,1,setup
snatch_-96kg_moeini_sedeh_alireza_i2_ok_000016.mp4,moeini/snatch_-96kg_moeini_sedeh_alireza_i2_ok_000016.mp4,5,1,setup
snatch_-96kg_moeini_sedeh_alireza_i2_ok_000016.mp4,moeini/snatch_-96kg_moeini_sedeh_alireza_i2_ok_000016.mp4,6,1,setup
snatch_-96kg_moeini_sedeh_alireza_i2_ok_000016.mp4,moeini/snatch_-96kg_moeini_sedeh_alireza_i2_ok_000016.mp4,7,1,setup
snatch_-96kg_moeini_sedeh_alireza_i2_ok_000016.mp4,moeini/snatch_-96kg_moeini_sedeh_alireza_i2_ok_000016.mp4,8,1,setup
snatch_-96kg_moeini_sedeh_alireza_i2_ok_000016.mp4,moeini/snatch_-96kg_moeini_sedeh_alireza_i2_ok_000016.mp4,9,1,setup
snatch_-96kg_moeini_sedeh_alireza_i2_ok_000016.mp4,moeini/snatch_-96kg_moeini_sedeh_alireza_i2_ok_000016.mp4,10,1,setup
snatch_-96kg_moeini_sedeh_alireza_i2_ok_000016.mp4,moeini/snatch_-96kg_moeini_sedeh_alireza_i2_ok_000016.mp4,11,1,setup
snatch_-96kg_moeini_sedeh_alireza_i2_ok_000016.mp4,moeini/snatch_-96kg_moeini_sedeh_alireza_i2_ok_000016.mp4,12,1,setup
snatch_-96kg_moeini_sedeh_alireza_i2_ok_000016.mp4,moeini/snatch_-96kg_moeini_sedeh_alireza_i2_ok_000016.mp4,13,1,setup
snatch_-96kg_moeini_sedeh_alireza_i2_ok_000016.mp4,moeini/snatch_-96kg_moeini_sedeh_alireza_i2_ok_000016.mp4,14,1,setup
snatch_-96kg_moeini_sedeh_alireza_i2_ok_000016.mp4,moeini/snatch_-96kg_moeini_sedeh_alireza_i2_ok_000016.mp4,15,1,setup
snatch_-96kg_moeini_sedeh_alireza_i2_ok_000016.mp4,moeini/snatch_-96kg_moeini_sedeh_alireza_i2_ok_000016.mp4,16,1,setup
