video,video_relpath,frame,phase_id,phase_name
snatch_-96kg_alipour_ali_i3_ok_000013.mp4,alipour/snatch_-96kg_alipour_ali_i3_ok_000013.mp4,0,0,unlabeled
snatch_-96kg_alipour_ali_i3_ok_000013.mp4,alipour/snatch_-96kg_alipour_ali_i3_ok_000013.mp4,1,0,unlabeled
snatch_-96kg_alipour_ali_i3_ok_000013.mp4,alipour/snatch_-96kg_alipour_ali_i3_ok_000013.mp4,2,0,unlabeled
snatch_-96kg_alipour_ali_i3_ok_000013.mp4,alipour/snatch_-96kg_alipour_ali_i3_ok_000013.mp4,3,0,unlabeled
snatch_-96kg_alipour_ali_i3_ok_000013.mp4,alipour/snatch_-96kg_alipour_ali_i3_ok_000013.mp4,4,0,unlabeled
snatch_-96kg_alipour_ali_i3_ok_000013.mp4,alipour/snatch_-96kg_alipour_ali_i3_ok_000013.mp4,5,0,unlabeled
snatch_-96kg_alipour_ali_i3_ok_000013.mp4,alipour/snatch_-96kg_alipour_ali_i3_ok_000013.mp4,6,0,unlabeled
snatch_-96kg_alipour_ali_i3_ok_000013.mp4,alipour/snatch_-96kg_alipour_ali_i3_ok_000013.mp4,7,0,unlabeled
snatch_-96kg_alipour_ali_i3_ok_000013.mp4,alipour/snatch_-96kg_alipour_ali_i3_ok_000013.mp4,8,0,unlabeled
snatch_-96kg_alipour_ali_i3_ok_000013.mp4,alipour/snatch_-96kg_alipour_ali_i3_ok_000013.mp4,9,0,unlabeled
snatch_-96kg_alipour_ali_i3_ok_000013.mp4,alipour/snatch_-96kg_alipour_ali_i3_ok_000013.mp4,10,0,unlabeled
snatch_-96kg_alipour_ali_i3_ok_000013.mp4,alipour/snatch_-96kg_alipour_ali_i3_ok_000013.mp4,11,0,unlabeled
snatch_-96kg_alipour_ali_i3_ok_000013.mp4,alipour/snatch_-96kg_alipour_ali_i3_ok_000013.mp4,12,0,unlabeled
snatch_-96kg_alipour_ali_i3_ok_000013.mp4,alipour/snatch_-96kg_alipour_ali_i3_ok_000013.mp4,13,1,setup
snatch_-96kg_alipour_ali_i3_ok_000013.mp4,alipour/snatch_-96kg_alipour_ali_i3_ok_000013.mp4,14,1,setup
snatch_-96kg_alipour_ali_i3_ok_000013.mp4,alipour/snatch_-96kg_alipour_ali_i3_ok_000013.mp4,15,1,setup
snatch_-96kg_alipour_ali_i3_ok_000013.mp4,alipour/snatch_-96kg_alipour_ali_i3_ok_000013.mp4,16,1,setup
snatch_-96kg_alipour_ali_i3_ok_000013.mp4,alipour/snatch_-96kg_alipour_ali_i3_ok_000013.mp4,17,1,setup
snatch_-96kg_alipour_ali_i3_ok_000013.mp4,alipour/snatch_-96kg_alipour_ali_i3_ok_000013.mp4,18,1,setup
snatch_-96kg_alipour_ali_i3_ok_000013.mp4,alipour/snatch_-96kg_alipour_ali_i3_ok_000013.mp4,19,1,setup
snatch_-96kg_alipour_ali_i3_ok_000013.mp4,alipour/snatch_-96kg_alipour_ali_i3_ok_000013.mp4,20,1,setup
snatch_-96kg_alipour_ali_i3_ok_000013.mp4,alipour/snatch_-96kg_alipour_ali_i3_ok_000013.mp4,21,1,setup
snatch_-96kg_alipour_ali_i3_ok_000013.mp4,alipour/snatch_-96kg_alipour_ali_i3_ok_000013.mp4,22,1,setup
snatch_-96kg_alipour_ali_i3_ok_000013.mp4,alipour/snatch_-96kg_alipour_ali_i3_ok_000013.mp4,23,1,setup
